lon,lat,limit
36.70288344,127.4261872,70
37.65865362,126.7436503,60
37.6150665,126.874034,60
37.76399735,127.0348229,50
37.56675416,126.9161067,50
37.56044308,126.8967713,60
37.5526923,126.9124983,50
37.48845942,126.8768618,50
35.59216318,128.8874489,80
37.5917703,127.0135063,50
37.57364767,127.0377202,50
37.61533339,127.0585158,50
37.70012663,126.9027895,60
37.9944444,127.0238134,60
36.681978,127.4042644,70
36.64860314,127.35583,60
36.661612,127.470965,60
35.84802041,129.2338217,60
36.10645129,128.3509306,50
36.61168096,128.2302568,80
36.06273495,128.3452632,50
35.835258,128.8129305,80
37.57855999,127.0757616,30
37.57404415,126.967268,50
37.50504513,126.9766603,80
37.489189,126.965561,50
37.59743153,127.0354398,50
37.64838009,127.47522,50
35.14244395,128.9836127,50
35.29654089,129.0841043,60
35.15163267,128.9537314,70
35.1761555,129.0813141,50
36.05859177,129.3385073,80
36.09305132,129.3586682,80
36.22343149,128.311934,60
36.40717906,128.0942628,60
36.00272314,129.067562,50
36.98243237,129.4045248,80
36.72649629,128.5308943,80
36.11016597,128.3431495,50
35.82059506,128.7536783,50
35.90898864,128.3332949,70
37.56397334,126.8847774,80
37.5090905,126.9631596,50
37.55903022,127.0054602,50
37.5985725,127.0675393,30
37.60584046,126.9602761,50
37.55503129,126.9377942,50
35.0617701,128.114124,70
36.8863277,129.4139189,80
36.65497514,129.4299131,80
36.72461316,129.431142,60
37.59436192,127.1923239,60
35.151472,128.953947,60
35.175386,129.081482,100
35.84383948,129.2360502,60
35.99686469,129.4076082,60
36.18894409,128.3479849,60
35.875171,128.810721,60
37.56919887,126.8161774,50
37.49518192,126.9564432,50
37.50163381,126.9493491,50
37.58052679,126.8877266,50
37.56286334,126.9039827,60
37.56060739,126.9163001,50
37.51325696,126.8964817,50
37.60923882,126.9312642,50
37.52361192,126.9927909,50
37.52310219,126.9628808,60
37.5423116,126.9730345,50
37.529259,126.9676929,50
37.53826544,127.1546194,50
37.63547025,127.0226733,50
37.63802609,127.025269,50
37.63519718,127.0873616,50
37.66914,127.0459326,50
37.6121808,127.0610595,50
37.60313609,127.0136078,50
34.86774812,128.7214318,50
35.16345076,128.9745217,80
35.16523148,128.9760189,80
35.18402339,126.8995021,100
35.1843131,126.8962763,100
35.82197178,128.4940768,60
35.84490665,129.2587367,60
36.52949805,129.4029331,80
36.72092446,128.7166917,80
35.19969042,129.0975381,50
35.15286705,129.0223353,50
36.30795437,127.3640591,60
36.3493707,127.4170163,40
35.1628464,126.8551117,50
35.16121039,126.8558265,50
